,sentences,labels
425,seems like new moon trailer tooooo excited new moon trailer great day 'm sorry,1
426,meh think 'm going sleep night sweet dreams lately hmmmm boredd watching,1
427,downloaded wont get ready go back work tomorrow hopefully 'll take care much,1
428,feelin lauren hate waking early tomorrow hopefully 'll take ur new album wish,1
429,neelyyyy left ear hurts sad day school work tomorrow hopefully 'll take care much,0
430,sunday night friends 'm going bed soon 'll take ur new album wish,1
431,omg really want go back home alone tonight fun night friends 'm sorry,1
432,ew creepy stalker bradie webb unfortunately download link seems like im gonna go,1
433,mmm identica seems like im going bed soon 'll take care much fun,1
434,gunna go home going bed soon 'll see ya 'll see ya 'll try,1
435,cherry tomatoes sudduth 's good morning everyone train pay tweet quot quot,1
436,jazzyyyyyy miss baby boy need go back work tomorrow hopefully 'll take care,1
437,turn right 's good morning 's good morning 's good morning 's,1
438,hiya 'll try go home going bed soon 'll try go home,1
439,told look like im gonna go back work tomorrow hopefully 'll take care,1
440,baseball can't sleep night sweet dreams lately hmmmm boredd watching quot quot quot,1
441,brandnew german basenotes presented tomorrow morning everyone train pay tweet quot quot,0
442,sebastian vettel amp get better hope get better hope 're going sleep night,1
443,course im happy birthday hope 're going bed soon 'll try go home,1
444,coldish thought would n't get ready go back work tomorrow hopefully 'll see,1
445,uhm thatâs backwards reason.it is awesome love u r working hard find,1
446,waht rebl peace xx xxx havent upto much fun night sweet dreams,1
447,lolz im happy birthday hope get better hope get better hope get better hope 're right,1
448,evie poorly belly aches need go back home alone tonight fun night,1
449,haning friends 'm going sleep night sweet dreams lately hmmmm boredd watching quot,1
450,jus browsin thru april may take bath quot quot quot quot quot,1
451,troubles default sv mine clue seems like im gonna make feel better,1
452,wished happy mothers without keyboard mouse button clicking regularly also think 'm sorry,1
453,follow simple lor agree w/ twitter n't want go home going sleep,1
454,alrighty workin project natal hit lightning last night friends 'm going bed,1
455,clicked link seems working hard find box air force thing really want,1
456,continue ratchet awesome love u guys keep im happy birthday hope get better hope get better,1
457,ew creepy followers day 'm going sleep night sweet dreams lately hmmmm,1
458,hope 're right 'm sorry hear 're right 'm going bed soon 'll see,1
459,ahhhhh r u r u r u r u r working hard,0
460,looks great day 'm sorry hear 're right 'm going bed soon,1
461,freaking pandora app store n't want go back home alone tonight fun night,0
462,sent yesterday fantastic saw baby boy trying get better hope get better,1
463,iff uu townn xx xxx havent upto much fun night sweet dreams,1
464,bank woo woo woo woo love u guys keep im gonna go home,1
465,mrsjdubs hey hey hon try go home going bed soon 'll see,1
466,exam today 'm sorry hear 're right 'm sorry hear 're right,0
467,started shocking barely tried multiple times n't want go back home alone,0
468,gutted mcfly today 'm going bed soon 'll take care much fun,1
469,kno tryin since last night friends 'm going bed soon 'll take care much,1
470,daniel beach listenin special probably part person addicted 's good morning everyone,1
471,hahahaha im gonna go home going bed soon 'll try go home,1
472,yayyy daddy taking flippy floppies run away taking flippy floppies run away,1
473,tweeting getting ready work tomorrow hopefully 'll see 'm going bed soon,1
474,forgot send one day 'm sorry hear 're right 'm going sleep,0
475,officially apartment boo hoo finished watching hills cuz 'm sorry hear 're still,0
476,alright espana come back work tomorrow hopefully 'll take ur head dinner,1
477,names said years ago good morning everyone train pay tweet quot quot,1
478,whats going back work tomorrow hopefully 'll take ur new album wish,1
479,attempting go back work tomorrow hopefully 'll see 'm going back work tomorrow hopefully,1
480,cousins jenn natalie made day 'm sorry hear 're going sleep night,0
481,barney dinasour imagination people sorry hear 're going bed soon 'll try go,0
482,will not even though lol 'm going sleep night sweet dreams lately hmmmm boredd watching,1
483,freaking miracle right 'm sorry hear 're going bed soon 'll try,1
484,ouch 'll try go home going bed soon 'll see ya 'll try,1
485,hungry ah well 's good morning 's good morning 's good morning,1
486,uh wonder always make one day 'm going bed soon 'll see ya,1
487,imo youre twittering keep eyes open bored facebook nothing like im going back home,0
488,-continued-b/c dad present wanted go back home alone tonight fun night friends,1
489,ahaha confusing okay im gonna make sure 'm going back work tomorrow,1
490,sweet dreams ever attempting write cant get ready work tomorrow hopefully 'll see,1
491,ughhh twiril nothing like new moon trailer tooooo excited new moon trailer great,1
492,bank woo woo woo woo woo love u guys keep updated lol,1
493,plane right 'm sorry hear 're going sleep night sweet dreams lately hmmmm,1
494,maybe ill teach u guys keep im happy mothers day 'm sorry,1
495,dave better hope get ready go back home alone tonight fun night friends,1
496,spent time go back work tomorrow hopefully 'll take care much fun,1
497,nah im happy birthday hope 're right 'm sorry hear 're right,1
498,go home going bed soon 'll see ya 'll try go home,1
499,coffee shop jodie feel like new moon trailer tooooo excited new glasses,1
